DEP,n_vitaux_personas,n_mercato_receptifs,ica_moyen,svs_moyen,score_individuel_moy,n_vitaux_estimes,n_mercato_estimes
00,4530,257,,,0.3324591611479029,329586.0,18698.0
01,539,50,0.5136285922885208,0.3,0.5931977940562582,39216.0,3638.0
02,788,25,0.4544185855486493,0.3,0.44131110638020254,57332.0,1819.0
03,640,23,0.5233326158544529,0.3,0.5907991897559216,46564.0,1673.0
04,337,0,0.3855306230220089,0.3,0.3843851886639876,24519.0,0.0
05,161,9,0.4973346377165269,0.3,0.5327664561773154,11714.0,655.0
06,479,40,0.2859560397794387,0.3,0.5196979621693641,34850.0,2910.0
07,463,16,0.4268235269380024,0.3,0.5144313907082133,33686.0,1164.0
08,541,43,0.5040685434192409,0.3,0.4670447095297631,39361.0,3129.0
09,306,12,0.4580861638751912,0.3,0.42802307020135744,22263.0,873.0
10,304,29,0.4539216919066494,0.3,0.5125607817261073,22118.0,2110.0
11,871,39,0.43244192405215803,0.3,0.5510154251778849,63371.0,2837.0
12,324,18,0.4283683990647776,0.29999999999999993,0.5565372107772293,23573.0,1310.0
13,1199,77,0.3977637285969153,0.3,0.43726388965100565,87235.0,5602.0
14,583,47,0.44684678372552494,0.3,0.5261160682708782,42417.0,3420.0
15,574,18,0.38294243785881305,0.3,0.39369359564994655,41762.0,1310.0
16,734,24,0.45296659780335885,0.3,0.5077054382627526,53403.0,1746.0
17,797,32,0.4867875445838852,0.3,0.5143191756684374,57987.0,2328.0
18,285,15,0.46621417784016467,0.3,0.5302998808965632,20736.0,1091.0
19,505,27,0.48638186270475686,0.3,0.46577679798565597,36742.0,1964.0
21,642,41,0.4613105706670675,0.3,0.5219987358196443,46709.0,2983.0
22,218,6,0.45684050295794054,0.3,0.5910011204628891,15861.0,437.0
23,220,7,0.4141681778750803,0.3,0.400911691060994,16006.0,509.0
24,468,27,0.46308964707692263,0.3,0.5469497536739972,34050.0,1964.0
25,485,26,0.4582184927820025,0.29999999999999993,0.5549457651021241,35287.0,1892.0
26,373,16,0.37127186208258894,0.3,0.5519905821647951,27138.0,1164.0
27,454,35,0.4833315344216491,0.3,0.573343154444418,33031.0,2546.0
28,705,33,0.5397057606482611,0.3,0.5902508453789292,51293.0,2401.0
29,384,25,0.4330484027806387,0.3,0.5816939020841058,27938.0,1819.0
2A,49,3,0.27820057098212775,0.3,0.5321841384340342,3565.0,218.0
2B,56,0,0.3060289506394958,0.3,0.5465539044697475,4074.0,0.0
30,1180,63,0.45425050945838524,0.3,0.4820868792793652,85852.0,4584.0
31,1244,58,0.4739745637217475,0.3,0.5752914986389636,90509.0,4220.0
32,704,27,0.4803293066561592,0.3,0.4771857446848968,51220.0,1964.0
33,1652,89,0.4635241500851708,0.3,0.5717434382741822,120193.0,6475.0
34,744,27,0.37349913349448177,0.3,0.5415175804930742,54131.0,1964.0
35,804,45,0.49675044432002163,0.3,0.5916997343942666,58496.0,3274.0
36,533,20,0.43363392115678523,0.3,0.42577017132092954,38779.0,1455.0
37,299,15,0.4332055968678528,0.3,0.5698662148319494,21754.0,1091.0
38,718,47,0.4806948215026906,0.3,0.5761799532346474,52239.0,3420.0
39,614,28,0.4857238363750043,0.3,0.5012943909963934,44672.0,2037.0
40,378,12,0.47620839808243837,0.3,0.6018993327272021,27502.0,873.0
41,369,25,0.4787655542834632,0.3,0.5588047265258278,26847.0,1819.0
42,472,19,0.4333819184414117,0.3,0.5714534902296664,34341.0,1382.0
43,231,4,0.4667438961936608,0.3,0.5157414448469666,16807.0,291.0
44,963,59,0.3999709301874929,0.3,0.5595487451277779,70064.0,4293.0
45,541,25,0.45789750865990875,0.3,0.5531673144590096,39361.0,1819.0
46,319,11,0.4299836025812392,0.3,0.45367814695267894,23209.0,800.0
47,373,18,0.439115931633921,0.3,0.5569342999734276,27138.0,1310.0
48,113,8,0.30219707443194693,0.3,0.4203463291483929,8221.0,582.0
49,431,23,0.4195274694234915,0.3,0.5570604476772674,31358.0,1673.0
50,471,16,0.4636054023566219,0.3,0.5455017026557957,34268.0,1164.0
51,1073,49,0.4839891467819787,0.3,0.5499717378909178,78067.0,3565.0
52,240,14,0.3561064201598399,0.3,0.43842188783085917,17461.0,1019.0
53,252,16,0.465974741093068,0.3,0.5592490786507022,18335.0,1164.0
54,1021,65,0.527926023909529,0.3,0.48505927053080744,74284.0,4729.0
55,73,5,0.3823442108173604,0.3,0.49267690286457094,5311.0,364.0
56,447,37,0.4659417970856809,0.3,0.5888991206260505,32522.0,2692.0
57,739,57,0.4940608709850791,0.3,0.5630338403198468,53767.0,4147.0
58,427,25,0.4294144031532244,0.3,0.3913088953849975,31067.0,1819.0
59,1861,126,0.4311761313932486,0.3,0.5632456463475726,135399.0,9167.0
60,1005,58,0.546437400132366,0.3,0.5837029924072722,73120.0,4220.0
61,596,25,0.4918934262585389,0.3,0.513425601362868,43363.0,1819.0
62,1432,86,0.4571599189885382,0.3,0.5460904138677596,104187.0,6257.0
63,520,28,0.4673101801828498,0.3,0.5356481167417229,37833.0,2037.0
64,418,17,0.4242368806466235,0.3,0.5473819353295537,30412.0,1237.0
65,612,39,0.5172244092653525,0.3,0.4868296648759329,44527.0,2837.0
66,519,10,0.4155781542524607,0.3,0.5669515312570984,37760.0,728.0
67,860,32,0.46193304760337994,0.29999999999999993,0.5733604255373177,62570.0,2328.0
68,482,33,0.4398473162246471,0.30000000000000004,0.5671493173404459,35068.0,2401.0
69,1588,83,0.4500800922443882,0.3,0.5205032499256405,115537.0,6039.0
70,340,26,0.44958017264316125,0.3,0.4472840704101673,24737.0,1892.0
71,722,66,0.4475515359894593,0.3,0.5477415731397483,52530.0,4802.0
72,337,22,0.5177459953248444,0.3,0.5797453238389871,24519.0,1601.0
73,597,27,0.5288444460611677,0.3,0.5983676118129075,43435.0,1964.0
74,505,28,0.454167488229236,0.3,0.5787625976202663,36742.0,2037.0
75,847,45,,,0.32330578512396696,61624.0,3274.0
76,925,70,0.4806954185891804,0.3,0.5659715860709793,67299.0,5093.0
77,1283,89,0.5269269264679386,0.3,0.5913645171606963,93346.0,6475.0
78,795,43,0.5123948085766227,0.3,0.5882295170705383,57841.0,3129.0
79,416,32,0.510865134401211,0.3,0.5640915559362327,30267.0,2328.0
80,596,25,0.4606155761499759,0.3,0.51873908834258,43363.0,1819.0
81,430,29,0.4481329069151063,0.3,0.4918113695677006,31285.0,2110.0
82,392,21,0.42568275594147353,0.3,0.5535374799923221,28520.0,1528.0
83,369,24,0.3366547100439157,0.3,0.5444116768609087,26847.0,1746.0
84,375,12,0.40579290839350907,0.3,0.5629551969770176,27284.0,873.0
85,580,31,0.5423237105779392,0.3,0.6078594235769815,42199.0,2255.0
86,538,35,0.49206668084359334,0.3,0.5080064338592472,39143.0,2546.0
87,342,12,0.5383284060310047,0.3,0.6070814337262851,24883.0,873.0
88,488,30,0.5104164553775177,0.3,0.4478479520019536,35505.0,2183.0
89,528,13,0.504340761405345,0.3,0.5030005262461261,38415.0,946.0
90,124,10,0.5073153153592563,0.3,0.5093375937309833,9022.0,728.0
91,1122,50,0.5005961401412573,0.3,0.5866652707099416,81632.0,3638.0
92,1023,61,0.41774370253636556,0.3,0.561538600271329,74430.0,4438.0
93,1511,82,0.4279468103037599,0.3,0.5678374984775811,109935.0,5966.0
94,976,51,0.4508057525493211,0.3,0.5700454220407757,71010.0,3711.0
95,904,70,0.49794043500678364,0.3,0.5815429891614353,65772.0,5093.0
